analysis,waveform,action_id,action_label_en,action_label,phase_node,phase_percent,n_athletes,n_trials_total,min_trials_per_athlete,max_trials_per_athlete,sigma2_athlete,sigma2_trial,boundary_sigma2_athlete_zero,ss_between,ss_within,ms_between,ms_within,pointwise_relative_reliability_m1,pointwise_relative_reliability_m2,pointwise_relative_reliability_m5,pointwise_relative_reliability_m10,pointwise_relative_reliability_m15,pointwise_relative_reliability_m20,pointwise_relative_reliability_m30,pointwise_relative_reliability_m40,pointwise_relative_reliability_m50
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,18,9.04522613065,30,1500,50,50,23.988568527,13.6426177948,False,35179.0602802,20054.6481583,1213.07104415,13.6426177948,0.637465115287,0.778599933929,0.897873483006,0.946188975235,0.963470758178,0.972350565413,0.981395576344,0.985981480639,0.988753653085
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,19,9.54773869347,30,1500,50,50,24.7207709022,14.1411930004,False,36255.2124053,20787.5537106,1250.17973811,14.1411930004,0.636117386248,0.77759382254,0.89733792063,0.945891515553,0.963265120822,0.972193473267,0.981288885139,0.985900710498,0.988688672061
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,20,10.0502512563,30,1500,50,50,25.4867819885,14.7340866717,False,37383.1223967,21659.1074074,1289.07318609,14.7340866717,0.6336706003,0.775762996755,0.896361438421,0.945348729688,0.962889779563,0.97190669751,0.98109408851,0.985753229336,0.988570015395
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,21,10.5527638191,30,1500,50,50,26.2018565004,15.334963432,False,38437.4058651,22542.396245,1325.42778845,15.334963432,0.630810363986,0.773615838992,0.895213075621,0.944709686881,0.962447698416,0.971568860127,0.980864559288,0.985579433492,0.988430178116
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,22,11.0552763819,30,1500,50,50,27.3166300409,15.9415153639,False,40071.4175049,23434.027585,1381.77301741,15.9415153639,0.631479453991,0.774118794382,0.895482377853,0.944859618128,0.962551436046,0.971648142952,0.980918429313,0.985620224811,0.988462999955
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,23,11.5577889447,30,1500,50,50,27.7275059146,16.407522685,False,40680.701734,24119.058347,1402.78281841,16.407522685,0.628242618037,0.771681825642,0.894175773776,0.944131781385,0.962047745982,0.971263152452,0.980656814241,0.985422114997,0.988303590214
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,24,12.0603015075,30,1500,50,50,28.2101618141,16.8344072193,False,41392.9324398,24746.5786124,1427.34249793,16.8344072193,0.626272210378,0.770193583069,0.893375658501,0.943685585573,0.961738838752,0.971026993849,0.980496302315,0.985300553345,0.988205768942
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,25,12.5628140704,30,1500,50,50,29.4487959104,40.518642826,False,43875.7947121,59562.4049542,1512.95843835,40.518642826,0.420892867343,0.592434344653,0.784202828482,0.879051210954,0.915980105817,0.935633053351,0.956147825372,0.966746307345,0.973218931995
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,26,13.0653266332,30,1500,50,50,31.2818898802,216.076335809,False,51624.9540647,317632.21364,1780.17082982,216.076335809,0.126463916019,0.224532564639,0.419907163202,0.591457208027,0.684700337163,0.743290118067,0.812845254505,0.852744027358,0.878620449122
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,27,13.567839196,30,1500,50,50,30.1847584815,32.5008600291,False,44710.424739,47776.2642428,1541.7387841,32.5008600291,0.481526053322,0.650040614868,0.822810840324,0.902793446387,0.933025511179,0.948913764761,0.965352506506,0.973787329043,0.978919347191
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,28,14.0703517588,30,1500,50,50,29.8133837492,18.8899701641,False,43777.2155711,27768.2561412,1509.55915762,18.8899701641,0.612142313696,0.759414734661,0.887530840285,0.940414663795,0.959471473913,0.969292472729,0.979316603162,0.984406822402,0.987486432666
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,29,14.5728643216,30,1500,50,50,30.1626587283,19.231009354,False,44293.5544272,28269.5837503,1527.36394577,19.231009354,0.610658408241,0.75827177894,0.886905888553,0.940063724358,0.959227907106,0.969106027349,0.979189714098,0.984310660664,0.987409019699
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,30,15.0753768844,30,1500,50,50,30.3326184953,19.6913338647,False,44553.3455002,28946.260781,1536.32225863,19.6913338647,0.606361893939,0.754950545362,0.885084183204,0.939039424435,0.958516667005,0.96856145636,0.978819004355,0.984029686481,0.987182810277
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,31,15.5778894472,30,1500,50,50,30.399962704,19.9854686753,False,44659.5245124,29378.6389527,1539.98360388,19.9854686753,0.603348266985,0.752610370946,0.883795471216,0.938313617078,0.958012390125,0.968175231099,0.978556003993,0.983830317342,0.987022284767
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,32,16.0804020101,30,1500,50,50,30.126097511,20.2448442515,False,44269.9418743,29759.9210498,1526.5497198,20.2448442515,0.598084857199,0.748502001636,0.881522721639,0.937031173209,0.957120763739,0.967492094262,0.978090653855,0.983477491049,0.986738169095
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,33,16.5829145729,30,1500,50,50,30.0134637699,20.4108172908,False,44111.4361677,30003.9014175,1521.08400578,20.4108172908,0.595218476863,0.746253238031,0.880273108605,0.936324733441,0.956629274798,0.967115398848,0.977833958757,0.983282830702,0.986581400361
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,34,17.0854271357,30,1500,50,50,29.9926558384,20.5290118332,False,44084.6923089,30177.6473948,1520.16180375,20.5290118332,0.593659259891,0.745026587342,0.879589794296,0.935938040274,0.956360141905,0.966909085728,0.977693341241,0.983176185157,0.986495508713
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,35,17.5879396985,30,1500,50,50,29.6090948134,20.6531855892,False,43532.1298616,30360.1828161,1501.10792626,20.6531855892,0.589091751831,0.741419431764,0.877573505141,0.934795365122,0.955564441969,0.966298950239,0.977277374717,0.982860668386,0.986241371971
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,36,18.0904522613,30,1500,50,50,29.4581907062,20.570798458,False,43310.9296793,30239.0737333,1493.48033377,20.570798458,0.588822424725,0.741206085163,0.877453927329,0.934727520666,0.955517179108,0.966262701783,0.977252656552,0.982841917214,0.986226267603
