quality_rule,waveform,action_id,action_code,excluded_participant_code,B,W,W_over_B,continuous_n90,integer_n90,boundary_nodes
unaltered_nonzero_primary,racket,5,BD,3,70.2890147438,198.627717549,2.82587141494,25.4328427345,26,0
unaltered_nonzero_primary,racket,5,BD,4,69.2184073166,217.272476476,3.1389407081,28.2504663729,29,0
unaltered_nonzero_primary,racket,5,BD,5,72.380594455,215.683567523,2.97985349729,26.8186814756,27,0
unaltered_nonzero_primary,racket,5,BD,6,73.1707336729,218.156722656,2.98147512954,26.8332761659,27,0
unaltered_nonzero_primary,racket,5,BD,7,72.377006402,216.655589411,2.99343120394,26.9408808354,27,0
unaltered_nonzero_primary,racket,5,BD,8,71.6606509039,211.257448547,2.94802581169,26.5322323052,27,0
unaltered_nonzero_primary,racket,5,BD,9,73.143318805,216.200485419,2.95584735491,26.6026261942,27,0
unaltered_nonzero_primary,racket,5,BD,10,73.2540665151,214.812419874,2.93242996729,26.3918697056,27,0
unaltered_nonzero_primary,racket,5,BD,11,66.5309939527,212.810784813,3.19867135855,28.788042227,29,0
unaltered_nonzero_primary,racket,5,BD,12,73.7074880679,209.898786062,2.84772675835,25.6295408252,26,0
unaltered_nonzero_primary,racket,5,BD,13,75.1005943682,203.967087406,2.71591841745,24.443265757,25,0
unaltered_nonzero_primary,racket,5,BD,14,70.0537036352,213.135590871,3.04245999584,27.3821399626,28,0
unaltered_nonzero_primary,racket,5,BD,15,74.2863503768,213.338531294,2.87184025345,25.846562281,26,0
unaltered_nonzero_primary,racket,5,BD,16,74.8425519654,213.323026405,2.85029065423,25.652615888,26,0
unaltered_nonzero_primary,racket,5,BD,17,74.966344815,211.310809386,2.81874232908,25.3686809617,26,0
unaltered_nonzero_primary,racket,5,BD,18,73.3177636721,190.457937556,2.597705222,23.379346998,24,0
unaltered_nonzero_primary,racket,5,BD,19,72.9573790638,214.365504405,2.93822923953,26.4440631558,27,0
unaltered_nonzero_primary,racket,5,BD,20,74.4428577369,217.709639953,2.92452018328,26.3206816495,27,0
unaltered_nonzero_primary,racket,5,BD,21,72.9654127737,216.857363251,2.97205696517,26.7485126865,27,0
unaltered_nonzero_primary,racket,5,BD,22,67.6292081395,215.64914006,3.18869828574,28.6982845717,29,0
