quality_rule,waveform,action_id,action_code,participant_code,integrated_within_SS,within_SS_share,integrated_squared_group_mean_deviation,between_distance_share
unaltered_nonzero_primary,racket,4,BA,15,3732.77234221,0.0523743188948,6.56059782352,0.00829317771328
unaltered_nonzero_primary,racket,4,BA,16,2886.19644723,0.0404960601028,10.4823712132,0.0132506472224
unaltered_nonzero_primary,racket,4,BA,17,7711.99828549,0.108206614412,5.09905755863,0.0064456611488
unaltered_nonzero_primary,racket,4,BA,18,2746.62449054,0.0385377338246,76.319049942,0.0964740502472
unaltered_nonzero_primary,racket,4,BA,19,2335.081578,0.0327633983537,40.5985630036,0.0513201855912
unaltered_nonzero_primary,racket,4,BA,20,802.13067635,0.0112546504279,16.1403023554,0.0204027741649
unaltered_nonzero_primary,racket,4,BA,21,1749.78930498,0.0245511953734,11.8119573508,0.0149313620628
unaltered_nonzero_primary,racket,4,BA,22,2151.40792044,0.0301862835897,6.5312805505,0.00825611807912
unaltered_nonzero_primary,racket,4,BA,23,1391.31650306,0.0195214836412,25.2311982187,0.0318944730915
unaltered_nonzero_primary,racket,4,BA,24,3253.23148698,0.0456459081126,16.9405644209,0.0214143764158
unaltered_nonzero_primary,racket,4,BA,25,2051.12845026,0.0287792679809,35.8143086563,0.0452724636314
unaltered_nonzero_primary,racket,4,BA,26,2760.94954997,0.0387387279282,19.2716394623,0.0243610620841
unaltered_nonzero_primary,racket,4,BA,27,2254.59142827,0.0316340455877,57.3830974225,0.0725373262415
unaltered_nonzero_primary,racket,4,BA,28,1414.56664421,0.0198477050647,21.5283791291,0.0272137812436
unaltered_nonzero_primary,racket,4,BA,29,3332.36706805,0.046756255002,26.1360026857,0.0330382262133
unaltered_nonzero_primary,racket,4,BA,30,331.022157073,0.00464455327739,8.5976421256,0.0108681824402
unaltered_nonzero_primary,racket,5,BD,1,1139.39017601,0.00364240088235,22.2288140393,0.00995286159074
unaltered_nonzero_primary,racket,5,BD,2,9268.6823026,0.0296301103065,31.0323330246,0.0138946016142
unaltered_nonzero_primary,racket,5,BD,3,30562.9663597,0.0977036470737,148.949225435,0.0666914133242
unaltered_nonzero_primary,racket,5,BD,4,4068.76392464,0.0130070186853,167.833970301,0.0751469814663
unaltered_nonzero_primary,racket,5,BD,5,6326.60354681,0.0202248771549,83.1042344676,0.0372095849018
unaltered_nonzero_primary,racket,5,BD,6,2812.2501026,0.00899019709911,60.3789983239,0.0270344523214
unaltered_nonzero_primary,racket,5,BD,7,4945.36044345,0.0158093211808,82.6751632525,0.0370174700005
unaltered_nonzero_primary,racket,5,BD,8,12616.1186116,0.0403311899036,104.986712324,0.0470073758671
unaltered_nonzero_primary,racket,5,BD,9,5592.06321623,0.0178766996784,62.1800038403,0.0278408452579
unaltered_nonzero_primary,racket,5,BD,10,7564.50435514,0.0241821966855,59.9338386337,0.0268351338704
unaltered_nonzero_primary,racket,5,BD,11,10408.827778,0.0332749257288,242.988554436,0.108797142581
unaltered_nonzero_primary,racket,5,BD,12,14546.7780028,0.0465031190795,50.321142375,0.0225310879952
unaltered_nonzero_primary,racket,5,BD,13,22975.7217932,0.0734487545133,15.8254247198,0.00708576991883
unaltered_nonzero_primary,racket,5,BD,14,9947.27836945,0.0317994452408,147.464717351,0.0660267308333
unaltered_nonzero_primary,racket,5,BD,15,9658.90002838,0.0308775577733,32.7912204616,0.014682136351
unaltered_nonzero_primary,racket,5,BD,16,9680.93247461,0.0309479910658,17.7450907759,0.00794529263214
unaltered_nonzero_primary,racket,5,BD,17,12540.2928589,0.0400887902458,15.4837111264,0.0069327690393
unaltered_nonzero_primary,racket,5,BD,18,42172.2237292,0.134816104401,71.3936620132,0.031966223444
unaltered_nonzero_primary,racket,5,BD,19,8199.57123788,0.0262123775864,68.2061092248,0.0305390095737
unaltered_nonzero_primary,racket,5,BD,20,3447.55462395,0.0110211376828,26.188861095,0.0117259566452
unaltered_nonzero_primary,racket,5,BD,21,4658.63981778,0.0148927330955,66.639737221,0.0298376728436
unaltered_nonzero_primary,racket,5,BD,22,6375.52497091,0.0203812690934,211.727060807,0.0947999352329
unaltered_nonzero_primary,racket,5,BD,23,10616.0313495,0.0339373138093,27.9384866298,0.0125093444027
unaltered_nonzero_primary,racket,5,BD,24,8673.93852487,0.0277288342499,58.5573460157,0.0262188148673
unaltered_nonzero_primary,racket,5,BD,25,7960.42155379,0.0254478642189,26.1230860681,0.0116965061429
unaltered_nonzero_primary,racket,5,BD,26,11287.6431393,0.0360843214168,27.6371788432,0.0123744350598
unaltered_nonzero_primary,racket,5,BD,27,13302.1907795,0.0425244244269,30.2847505737,0.0135598745951
unaltered_nonzero_primary,racket,5,BD,28,3900.6715212,0.0124696611308,71.5607382032,0.0320410311324
unaltered_nonzero_primary,racket,5,BD,29,16908.0037382,0.0540514821278,51.3404173582,0.0229874642468
unaltered_nonzero_primary,racket,5,BD,30,655.103666653,0.00209423446305,149.888751338,0.0671120822479
unaltered_nonzero_primary,racket,6,BP,1,311.800480994,0.0116839724398,21.9412793176,0.0451079753181
unaltered_nonzero_primary,racket,6,BP,2,781.075058408,0.0292689075616,14.4353335829,0.0296768780681
unaltered_nonzero_primary,racket,6,BP,3,1722.49184072,0.0645462352419,6.00064124538,0.0123364172741
unaltered_nonzero_primary,racket,6,BP,4,438.166224905,0.0164192244974,28.7151368364,0.0590340091351
unaltered_nonzero_primary,racket,6,BP,5,866.2150484,0.0324593237323,21.5225125128,0.0442470536544
unaltered_nonzero_primary,racket,6,BP,6,601.186271944,0.0225280083283,18.1502511247,0.0373141906587
unaltered_nonzero_primary,racket,6,BP,7,740.385890229,0.0277441789336,21.7856745767,0.0447880753383
unaltered_nonzero_primary,racket,6,BP,8,1546.09965479,0.0579363626962,50.3053601515,0.103420266031
unaltered_nonzero_primary,racket,6,BP,9,657.983252347,0.0246563384437,6.14685494697,0.0126370106874
unaltered_nonzero_primary,racket,6,BP,10,948.792888159,0.0355537294907,10.7823075149,0.0221668050533
unaltered_nonzero_primary,racket,6,BP,11,869.699435806,0.0325898927625,13.9138136151,0.0286047113317
unaltered_nonzero_primary,racket,6,BP,12,330.640178262,0.0123899447428,13.7326835161,0.0282323350489
unaltered_nonzero_primary,racket,6,BP,13,1139.55290243,0.0427020018163,8.05646145166,0.0165628748922
unaltered_nonzero_primary,racket,6,BP,14,808.349990605,0.0302909699878,4.72577248591,0.00971547855382
unaltered_nonzero_primary,racket,6,BP,15,2020.41341543,0.0757101290789,10.5324552608,0.0216531463398
unaltered_nonzero_primary,racket,6,BP,16,816.124130349,0.0305822871603,15.9874457573,0.0328677876153
unaltered_nonzero_primary,racket,6,BP,17,802.584777463,0.0300749325037,7.10793678409,0.0146128506173
unaltered_nonzero_primary,racket,6,BP,18,1159.65158216,0.0434551514565,25.6890798261,0.05281289035
unaltered_nonzero_primary,racket,6,BP,19,730.601607342,0.0273775364857,5.22506905237,0.0107419573143
unaltered_nonzero_primary,racket,6,BP,20,417.121368567,0.0156306191667,4.14808478381,0.00852783939064
unaltered_nonzero_primary,racket,6,BP,21,708.802648073,0.0265606729629,11.3330258892,0.0232989993287
unaltered_nonzero_primary,racket,6,BP,22,729.086385102,0.0273207571798,10.7046685775,0.0220071910572
unaltered_nonzero_primary,racket,6,BP,23,597.676454366,0.0223964863636,25.4848029428,0.0523929277547
