curve_family,normalised_time_pct,component,display_rolling_11
racket,42.713567839195974,fixed-action contrast dispersion,0.13540306985145348
racket,43.21608040201005,fixed-action contrast dispersion,0.14099054355894772
racket,43.71859296482412,fixed-action contrast dispersion,0.14550917066821997
racket,44.22110552763819,fixed-action contrast dispersion,0.15127641774846382
racket,44.723618090452256,fixed-action contrast dispersion,0.1574923361658704
racket,45.22613065326632,fixed-action contrast dispersion,0.1638922620614329
racket,45.7286432160804,fixed-action contrast dispersion,0.16938401644094012
racket,46.23115577889447,fixed-action contrast dispersion,0.17631744916255845
racket,46.73366834170854,fixed-action contrast dispersion,0.18390984247531267
racket,47.23618090452261,fixed-action contrast dispersion,0.19175156410114003
racket,47.73869346733668,fixed-action contrast dispersion,0.20153405875600638
racket,48.24120603015075,fixed-action contrast dispersion,0.21038462673896097
racket,48.74371859296482,fixed-action contrast dispersion,0.22016857292220282
racket,49.24623115577889,fixed-action contrast dispersion,0.23267840349274904
racket,49.74874371859296,fixed-action contrast dispersion,0.24436515180681753
racket,50.25125628140703,fixed-action contrast dispersion,0.2548021684322206
racket,50.7537688442211,fixed-action contrast dispersion,0.2681570981836017
racket,51.256281407035175,fixed-action contrast dispersion,0.28036875354781443
racket,51.75879396984924,fixed-action contrast dispersion,0.2941829576636056
racket,52.26130653266331,fixed-action contrast dispersion,0.31068065265602585
racket,52.76381909547738,fixed-action contrast dispersion,0.3270961711713378
racket,53.26633165829145,fixed-action contrast dispersion,0.34133676917930994
racket,53.768844221105525,fixed-action contrast dispersion,0.35537185231313884
racket,54.27135678391959,fixed-action contrast dispersion,0.37218143838580814
racket,54.77386934673366,fixed-action contrast dispersion,0.3885184003868291
racket,55.27638190954774,fixed-action contrast dispersion,0.4035217958425672
racket,55.778894472361806,fixed-action contrast dispersion,0.4203925296236186
racket,56.281407035175874,fixed-action contrast dispersion,0.42726694713804036
racket,56.78391959798994,fixed-action contrast dispersion,0.43457728515913946
racket,57.28643216080401,fixed-action contrast dispersion,0.4442361939652137
racket,57.78894472361809,fixed-action contrast dispersion,0.4508244532280591
racket,58.29145728643216,fixed-action contrast dispersion,0.4566906424278388
racket,58.793969849246224,fixed-action contrast dispersion,0.4595826813335377
racket,59.2964824120603,fixed-action contrast dispersion,0.4603154613456169
racket,59.79899497487437,fixed-action contrast dispersion,0.4594464629587352
racket,60.30150753768844,fixed-action contrast dispersion,0.45527000040370785
racket,60.804020100502505,fixed-action contrast dispersion,0.45119108976168304
racket,61.306532663316574,fixed-action contrast dispersion,0.44402971873210073
racket,61.80904522613065,fixed-action contrast dispersion,0.4393621404395807
racket,62.31155778894472,fixed-action contrast dispersion,0.4347243496083657
racket,62.81407035175879,fixed-action contrast dispersion,0.4238335397517832
racket,63.31658291457286,fixed-action contrast dispersion,0.4122068074804597
racket,63.81909547738693,fixed-action contrast dispersion,0.3987480814528909
racket,64.321608040201,fixed-action contrast dispersion,0.3874581412956448
racket,64.82412060301507,fixed-action contrast dispersion,0.37601656887271095
racket,65.32663316582914,fixed-action contrast dispersion,0.3538670575867327
racket,65.82914572864321,fixed-action contrast dispersion,0.3381983219913289
racket,66.33165829145727,fixed-action contrast dispersion,0.31997916112731095
racket,66.83417085427135,fixed-action contrast dispersion,0.29981028338685833
racket,67.33668341708542,fixed-action contrast dispersion,0.28460608201817333
racket,67.83919597989949,fixed-action contrast dispersion,0.2690092401148035
racket,68.34170854271356,fixed-action contrast dispersion,0.24694395367133692
racket,68.84422110552764,fixed-action contrast dispersion,0.22921838612975673
racket,69.3467336683417,fixed-action contrast dispersion,0.21171448097918574
racket,69.84924623115577,fixed-action contrast dispersion,0.19400184193273534
racket,70.35175879396985,fixed-action contrast dispersion,0.1776200562743442
racket,70.85427135678391,fixed-action contrast dispersion,0.16826723545297612
racket,71.35678391959799,fixed-action contrast dispersion,0.15299580304008506
racket,71.85929648241205,fixed-action contrast dispersion,0.14019648763825932
racket,72.36180904522612,fixed-action contrast dispersion,0.1307483582766399
racket,72.8643216080402,fixed-action contrast dispersion,0.119711118374325
racket,73.36683417085426,fixed-action contrast dispersion,0.10996026050191234
racket,73.86934673366834,fixed-action contrast dispersion,0.10685722369108168
racket,74.3718592964824,fixed-action contrast dispersion,0.09936012336303075
racket,74.87437185929647,fixed-action contrast dispersion,0.09297811082959201
racket,75.37688442211055,fixed-action contrast dispersion,0.08907387367642174
racket,75.87939698492461,fixed-action contrast dispersion,0.08450547026201743
racket,76.38190954773869,fixed-action contrast dispersion,0.08219274961893928
racket,76.88442211055276,fixed-action contrast dispersion,0.08217434317918823
racket,77.38693467336682,fixed-action contrast dispersion,0.08298847109654939
racket,77.8894472361809,fixed-action contrast dispersion,0.08487894156991783
racket,78.39195979899498,fixed-action contrast dispersion,0.08800687771653583
racket,78.89447236180904,fixed-action contrast dispersion,0.09242029466042762
racket,79.39698492462311,fixed-action contrast dispersion,0.09737527607227917
racket,79.89949748743717,fixed-action contrast dispersion,0.10415241593059128
racket,80.40201005025125,fixed-action contrast dispersion,0.1127094791216657
racket,80.90452261306532,fixed-action contrast dispersion,0.12187067464280098
racket,81.40703517587939,fixed-action contrast dispersion,0.13416018259413048
racket,81.90954773869346,fixed-action contrast dispersion,0.14620901588143076
racket,82.41206030150752,fixed-action contrast dispersion,0.15877469646061462
racket,82.9145728643216,fixed-action contrast dispersion,0.1722197479982168
racket,83.41708542713567,fixed-action contrast dispersion,0.18674850489692815
racket,83.91959798994974,fixed-action contrast dispersion,0.20187997707241723
racket,84.42211055276381,fixed-action contrast dispersion,0.21762693818035658
racket,84.92462311557789,fixed-action contrast dispersion,0.23440323159371104
racket,85.42713567839195,fixed-action contrast dispersion,0.25108788961783596
racket,85.92964824120602,fixed-action contrast dispersion,0.2680006175637079
racket,86.4321608040201,fixed-action contrast dispersion,0.28476275194893313
racket,86.93467336683416,fixed-action contrast dispersion,0.3014058938796425
racket,87.43718592964824,fixed-action contrast dispersion,0.3174765322103524
racket,87.9396984924623,fixed-action contrast dispersion,0.33301847991957606
racket,88.44221105527637,fixed-action contrast dispersion,0.3477895628417426
racket,88.94472361809045,fixed-action contrast dispersion,0.36154312510990994
racket,89.44723618090451,fixed-action contrast dispersion,0.37440934471320664
racket,89.94974874371859,fixed-action contrast dispersion,0.38610149685769835
racket,90.45226130653263,fixed-action contrast dispersion,0.39636987410631314
racket,90.95477386934672,fixed-action contrast dispersion,0.4056789392779183
racket,91.4572864321608,fixed-action contrast dispersion,0.41353173757523815
racket,91.95979899497486,fixed-action contrast dispersion,0.4202593546963838
racket,92.46231155778894,fixed-action contrast dispersion,0.42570297392938716
racket,92.964824120603,fixed-action contrast dispersion,0.42991104968945104
racket,93.46733668341707,fixed-action contrast dispersion,0.43187466781646666
racket,93.96984924623116,fixed-action contrast dispersion,0.4336599938437184
racket,94.47236180904522,fixed-action contrast dispersion,0.4343668330652484
racket,94.97487437185929,fixed-action contrast dispersion,0.43382243107585816
