waveform,action_id,action_code,trials,R_L2_independence
racket,4,BA,42,0.9579669001144856
racket,4,BA,43,0.9589042423889268
racket,4,BA,44,0.9598006909468836
racket,4,BA,45,0.9606588647824391
racket,4,BA,46,0.9614811639232881
racket,4,BA,47,0.9622697918461326
racket,4,BA,48,0.9630267751937536
racket,4,BA,49,0.9637539811652542
racket,4,BA,50,0.9644531328936561
racket,5,BD,1,0.2547946296841448
racket,5,BD,2,0.40611367574673374
racket,5,BD,3,0.5063522307864738
racket,5,BD,4,0.5776398917833753
racket,5,BD,5,0.6309363617922511
racket,5,BD,6,0.6722892832602703
racket,5,BD,7,0.7053088951986197
racket,5,BD,8,0.7322835772495675
racket,5,BD,9,0.7547341009878142
racket,5,BD,10,0.7737105831632931
racket,5,BD,11,0.7899614853304648
racket,5,BD,12,0.8040346726968017
racket,5,BD,13,0.8163403967772069
racket,5,BD,14,0.8271919500149812
racket,5,BD,15,0.8368327119561018
racket,5,BD,16,0.8454546205561222
racket,5,BD,17,0.8532110811610489
racket,5,BD,18,0.8602261739404762
racket,5,BD,19,0.8666013415815907
racket,5,BD,20,0.8724203266391212
racket,5,BD,21,0.8777528706644039
racket,5,BD,22,0.882657522862422
racket,5,BD,23,0.8871837987153606
racket,5,BD,24,0.8913738575710104
racket,5,BD,25,0.8952638197789636
racket,5,BD,26,0.8988848106067199
racket,5,BD,27,0.9022637948474121
racket,5,BD,28,0.9054242494973767
racket,5,BD,29,0.9083867100092987
racket,5,BD,30,0.9111692169995512
racket,5,BD,31,0.9137876839499203
racket,5,BD,32,0.916256201738894
racket,5,BD,33,0.9185872923113952
racket,5,BD,34,0.920792121129026
racket,5,BD,35,0.9228806760089598
racket,5,BD,36,0.924861918395953
racket,5,BD,37,0.926743911900776
racket,5,BD,38,0.9285339319935454
racket,5,BD,39,0.9302385599984447
racket,5,BD,40,0.9318637639499052
racket,5,BD,41,0.9334149684040484
racket,5,BD,42,0.9348971149263419
racket,5,BD,43,0.9363147146766297
racket,5,BD,44,0.9376718942704096
racket,5,BD,45,0.9389724358984506
racket,5,BD,46,0.940219812526244
racket,5,BD,47,0.9414172188631516
racket,5,BD,48,0.9425675986827415
racket,5,BD,49,0.9436736689862056
racket,5,BD,50,0.9447379414264072
racket,6,BP,1,0.4747721454959851
racket,6,BP,2,0.6438583030550974
racket,6,BP,3,0.7305894218813732
racket,6,BP,4,0.7833501243489076
racket,6,BP,5,0.8188300082419059
racket,6,BP,6,0.8443243817902558
racket,6,BP,7,0.8635287199794953
racket,6,BP,8,0.8785152322625429
racket,6,BP,9,0.8905359605209586
racket,6,BP,10,0.9003920152311462
racket,6,BP,11,0.9086198141959745
racket,6,BP,12,0.9155920619242519
racket,6,BP,13,0.9215757781716383
racket,6,BP,14,0.9267672783588726
racket,6,BP,15,0.9313141228869949
racket,6,BP,16,0.9353293677628916
racket,6,BP,17,0.9389010928973495
racket,6,BP,18,0.9420989382032822
racket,6,BP,19,0.9449786892286298
racket,6,BP,20,0.9475855592054052
racket,6,BP,21,0.9499565802975691
racket,6,BP,22,0.9521223739141992
racket,6,BP,23,0.954108480395489
racket,6,BP,24,0.955936370924946
racket,6,BP,25,0.9576242268739964
racket,6,BP,26,0.9591875466379047
racket,6,BP,27,0.9606396229271082
racket,6,BP,28,0.9619919216691788
racket,6,BP,29,0.9632543853978928
racket,6,BP,30,0.9644356781224532
racket,6,BP,31,0.9655433844357051
racket,6,BP,32,0.9665841725370689
